,Ti,Fe,Zr,Nb,Sn,Ta,Mo,Al,V,Cr,Hf,Mn,W,Si,Cu,Moeq,Bo,Md,fliter,YS,E,condition_type
63,0.9474806811810621,0.0,0.0,0.0,0.0,0.0,0.05251931881893798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.8043377740375703,2.4214756110539963,True,731.0,93.0,0
65,0.9474806811810621,0.0,0.0,0.0,0.0,0.0,0.05251931881893798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.8043377740375703,2.4214756110539963,True,862.0,77.6,3
66,0.9393932056154727,0.0,0.0,0.0,0.0,0.0,0.05265609379088573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007950700593641592,10.77,2.7990004400036104,2.406461821301583,True,972.0,73.5,3
67,0.9230912205520814,0.0,0.0,0.0,0.0,0.0,0.052931792126127086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023976987321791585,12.31,2.7882419358209014,2.376198412861734,True,1062.0,71.1,3
68,0.9066176281495697,0.0,0.0,0.0,0.0,0.0,0.05321039267588567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04017197917454465,13.85,2.7773701792785244,2.3456164283113754,True,1152.0,74.9,3
83,0.9306360308049232,0.06936396919507683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,2.7803584082818844,2.3444800535296766,True,1560.0,129.0,1
98,0.9060137388582837,0.0,0.028638732539952933,0.0,0.0,0.0,0.0653475286017634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.15,2.816316940140108,2.4291881638465003,True,509.0,64.5,0
103,0.9013165676179353,0.0,0.0,0.09868343238206465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,2.820493180606058,2.4447302810552127,True,628.0,89.0,4
104,0.9012084407580865,0.0,0.0,0.0987915592419135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,2.820526591805751,2.444727794137436,True,822.0,91.0,4
105,0.9010458054595425,0.0,0.0,0.0989541945404575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9,2.8205768461130014,2.4447240535255697,True,893.0,92.0,4
