122,X3,X13,X18,X23,X26,X90,X122,X125,X187,X201,X272,X472,X502
123,X11,X26,X27,X33,X103,X122,X144,X151,X229,X249,X303,X421,X554
124,X2,X5,X7,X9,X23,X103,X114,X122,X173,X200,X208,X272,X554
125,X1,X3,X14,X18,X23,X90,X114,X122,X125,X144,X249,X472,X502
126,X1,X3,X14,X18,X23,X90,X114,X122,X125,X144,X249,X472,X502
127,X3,X4,X14,X18,X23,X114,X122,X125,X144,X200,X303,X421,X502
128,X1,X3,X14,X18,X23,X90,X114,X122,X125,X144,X249,X472,X502
129,X1,X3,X14,X18,X23,X90,X114,X122,X125,X144,X200,X208,X554
130,X1,X3,X14,X18,X23,X90,X114,X122,X125,X144,X200,X208,X554
131,X9,X18,X22,X23,X103,X114,X125,X173,X200,X208,X536,X554,X608
132,X9,X18,X22,X23,X103,X114,X125,X173,X200,X208,X536,X554,X608
133,X9,X13,X18,X23,X26,X90,X103,X114,X229,X249,X303,X536,X554
134,X9,X18,X22,X23,X103,X114,X122,X125,X173,X200,X208,X536,X554
135,X9,X24,X26,X27,X33,X114,X122,X144,X200,X350,X472,X502,X536
136,X9,X24,X26,X27,X33,X114,X122,X144,X200,X270,X350,X472,X502
137,X3,X8,X13,X18,X23,X96,X103,X108,X122,X151,X173,X208,X691
138,X3,X13,X18,X23,X26,X43,X111,X114,X122,X151,X173,X208,X502
139,X3,X18,X23,X105,X114,X118,X122,X125,X173,X200,X303,X472,X502
140,X3,X11,X13,X18,X23,X26,X90,X103,X122,X151,X173,X208,X691
141,X9,X11,X13,X18,X23,X26,X90,X103,X122,X151,X173,X208,X691
142,X9,X11,X13,X18,X23,X26,X90,X103,X122,X151,X173,X208,X691
143,X9,X11,X13,X18,X23,X26,X90,X103,X122,X151,X173,X208,X691
144,X1,X3,X13,X18,X23,X24,X26,X41,X114,X122,X151,X208,X502
145,X3,X13,X18,X23,X26,X39,X103,X114,X122,X151,X173,X208,X265
146,X1,X3,X13,X18,X23,X90,X103,X114,X151,X173,X249,X472,X763
147,X3,X13,X18,X23,X26,X39,X103,X114,X122,X151,X173,X208,X265
148,X3,X18,X23,X68,X109,X111,X114,X122,X151,X200,X249,X472,X763
149,X3,X18,X23,X68,X109,X111,X114,X122,X151,X200,X249,X472,X763
150,X3,X9,X23,X121,X122,X151,X159,X197,X229,X249,X272,X303,X502
151,X9,X24,X27,X33,X109,X111,X114,X122,X151,X200,X249,X472,X763
152,X9,X24,X27,X33,X109,X111,X114,X122,X151,X200,X249,X472,X763
153,X3,X9,X23,X122,X144,X151,X173,X181,X200,X201,X249,X272,X303
154,X9,X13,X18,X19,X29,X39,X83,X90,X114,X122,X151,X208,X303
155,X9,X13,X18,X19,X29,X39,X83,X90,X114,X122,X151,X208,X303
156,X9,X24,X27,X33,X109,X111,X114,X122,X151,X200,X249,X472,X763
157,X3,X10,X13,X19,X29,X39,X83,X90,X114,X122,X151,X208,X303
158,X3,X10,X13,X19,X29,X39,X83,X90,X114,X122,X151,X208,X303
159,X9,X13,X18,X19,X27,X33,X108,X114,X151,X249,X303,X502,X554
160,X18,X19,X23,X31,X68,X73,X96,X108,X114,X151,X197,X208,X502
161,X18,X19,X23,X31,X68,X73,X96,X108,X114,X151,X303,X502,X581
162,X9,X13,X19,X23,X27,X33,X108,X114,X151,X173,X249,X303,X502
163,X18,X23,X27,X33,X52,X94,X108,X111,X114,X200,X472,X502,X763
164,X9,X13,X18,X19,X27,X33,X108,X114,X151,X173,X200,X502,X608
165,X9,X13,X18,X19,X27,X33,X108,X114,X151,X173,X200,X502,X608
166,X9,X13,X18,X19,X27,X33,X103,X108,X114,X151,X197,X200,X303
167,X9,X24,X26,X27,X33,X94,X108,X111,X114,X122,X173,X502,X615
168,X18,X23,X83,X103,X122,X144,X159,X173,X181,X200,X249,X303,X502
169,X9,X13,X18,X19,X27,X33,X108,X114,X151,X181,X249,X303,X502
170,X9,X13,X18,X19,X27,X33,X108,X114,X151,X181,X249,X303,X502
171,X9,X14,X19,X23,X27,X33,X94,X114,X151,X200,X211,X249,X472
172,X12,X24,X26,X27,X33,X49,X108,X111,X151,X173,X200,X265,X502
173,X24,X27,X33,X39,X94,X103,X114,X151,X173,X249,X272,X447,X502
174,X19,X24,X83,X103,X122,X144,X159,X173,X181,X200,X249,X303,X502
175,X9,X17,X23,X27,X33,X45,X114,X151,X181,X200,X211,X249,X472
176,X9,X13,X18,X23,X39,X41,X68,X114,X151,X249,X265,X502,X608
177,X1,X9,X18,X23,X33,X45,X114,X151,X181,X200,X211,X249,X472
178,X13,X18,X19,X23,X26,X27,X68,X103,X114,X197,X200,X272,X303
179,X4,X9,X16,X18,X23,X68,X114,X118,X151,X157,X249,X303,X502
