108,X8,X30,X73,X111,X144,X157,X291,X299,X315,X447,X468,X472,X581
109,X8,X16,X30,X49,X73,X96,X144,X157,X173,X291,X299,X311,X472
110,X7,X8,X26,X30,X68,X73,X144,X157,X173,X187,X197,X447,X604
111,X8,X16,X30,X49,X73,X96,X144,X157,X173,X291,X299,X311,X472
112,X8,X16,X30,X49,X73,X96,X144,X157,X173,X291,X299,X311,X472
113,X6,X8,X26,X30,X68,X73,X114,X144,X173,X187,X197,X447,X604
114,X8,X12,X30,X49,X73,X96,X144,X157,X173,X187,X197,X447,X604
115,X8,X16,X30,X49,X73,X96,X144,X157,X173,X291,X299,X311,X472
116,X5,X8,X16,X30,X49,X73,X96,X144,X157,X173,X291,X299,X311
117,X5,X8,X16,X30,X49,X73,X96,X144,X157,X173,X291,X299,X311
118,X8,X12,X30,X49,X73,X96,X144,X157,X173,X291,X299,X311,X472
119,X8,X12,X30,X49,X73,X96,X144,X157,X173,X291,X299,X311,X472
120,X8,X22,X30,X49,X73,X96,X144,X157,X173,X291,X299,X311,X472
121,X8,X22,X30,X49,X73,X96,X144,X157,X173,X291,X299,X311,X472
122,X8,X10,X16,X24,X37,X39,X45,X173,X275,X291,X447,X604,X763
123,X8,X10,X16,X24,X37,X39,X45,X173,X275,X291,X447,X604,X763
124,X8,X10,X16,X37,X39,X45,X90,X163,X229,X447,X472,X604,X738
125,X8,X12,X30,X49,X73,X96,X144,X275,X291,X421,X447,X604,X615
126,X8,X12,X30,X49,X73,X96,X144,X275,X291,X421,X447,X604,X615
127,X8,X16,X30,X73,X90,X163,X173,X219,X229,X291,X447,X472,X604
128,X8,X16,X30,X73,X90,X163,X173,X219,X229,X291,X447,X472,X604
129,X16,X27,X33,X163,X173,X219,X229,X291,X447,X472,X604,X738,X763
130,X16,X27,X33,X163,X173,X219,X229,X291,X447,X472,X604,X738,X763
131,X16,X27,X33,X163,X173,X219,X229,X291,X447,X472,X604,X738,X763
132,X16,X27,X33,X163,X173,X219,X229,X291,X447,X472,X604,X738,X763
133,X30,X31,X33,X39,X73,X157,X173,X275,X291,X447,X472,X604,X738
134,X30,X31,X33,X39,X73,X157,X173,X229,X272,X291,X421,X447,X604
135,X1,X8,X12,X16,X27,X29,X121,X157,X173,X187,X197,X311,X604
136,X30,X31,X33,X39,X73,X157,X173,X229,X272,X291,X421,X447,X604
137,X8,X16,X18,X19,X27,X29,X41,X144,X157,X173,X472,X604,X738
138,X3,X5,X8,X16,X19,X27,X29,X41,X105,X144,X229,X472,X604
139,X3,X8,X16,X19,X27,X29,X41,X105,X144,X299,X311,X472,X604
140,X3,X8,X16,X19,X27,X29,X41,X105,X144,X299,X447,X472,X604
141,X3,X8,X16,X19,X27,X29,X41,X105,X144,X299,X447,X472,X604
142,X1,X3,X12,X16,X19,X27,X29,X41,X105,X144,X173,X311,X472
143,X3,X8,X16,X19,X27,X29,X41,X144,X173,X472,X604,X608,X738
144,X3,X8,X16,X19,X27,X29,X41,X144,X173,X472,X604,X608,X738
145,X3,X8,X16,X19,X27,X29,X41,X144,X173,X472,X604,X608,X738
146,X16,X24,X27,X29,X41,X49,X72,X144,X157,X173,X311,X382,X691
147,X16,X24,X27,X29,X41,X49,X72,X144,X157,X173,X311,X382,X691
148,X3,X7,X8,X12,X19,X27,X41,X144,X299,X472,X554,X604,X738
149,X3,X8,X11,X16,X19,X27,X29,X144,X157,X173,X229,X604,X738
150,X8,X16,X30,X37,X45,X163,X219,X275,X291,X315,X421,X447,X604
151,X30,X31,X73,X163,X173,X197,X211,X229,X272,X291,X382,X472,X554
152,X1,X3,X7,X12,X17,X19,X27,X29,X41,X90,X173,X604,X615
153,X1,X3,X7,X12,X17,X19,X27,X29,X41,X90,X173,X472,X604
154,X1,X3,X7,X12,X17,X19,X27,X29,X41,X90,X173,X472,X604
155,X1,X3,X5,X7,X12,X17,X19,X27,X29,X41,X90,X604,X615
156,X8,X16,X33,X73,X163,X173,X219,X229,X272,X291,X382,X472,X554
157,X3,X8,X16,X18,X49,X52,X163,X211,X229,X272,X311,X382,X472
158,X3,X8,X16,X18,X49,X52,X163,X211,X229,X272,X311,X382,X472
159,X5,X8,X16,X30,X49,X73,X128,X157,X173,X270,X291,X604,X615
160,X8,X16,X30,X39,X41,X49,X90,X128,X197,X229,X350,X382,X472
161,X16,X18,X30,X37,X45,X105,X157,X187,X197,X229,X272,X421,X447
162,X8,X16,X30,X39,X41,X49,X90,X128,X197,X229,X350,X382,X472
163,X8,X16,X18,X30,X37,X45,X157,X187,X197,X229,X350,X382,X472
164,X3,X8,X16,X18,X49,X52,X125,X163,X211,X229,X272,X311,X604
165,X8,X16,X18,X30,X37,X49,X128,X197,X229,X303,X350,X382,X472
166,X8,X16,X18,X30,X37,X49,X128,X197,X229,X303,X350,X382,X472
167,X8,X16,X18,X30,X37,X49,X128,X197,X229,X303,X350,X382,X472
168,X8,X16,X18,X30,X37,X49,X128,X197,X229,X303,X350,X382,X472
169,X3,X8,X16,X18,X37,X49,X122,X128,X173,X229,X272,X421,X472
170,X3,X8,X12,X18,X49,X52,X125,X163,X211,X229,X272,X421,X447
171,X8,X18,X27,X30,X49,X52,X125,X163,X211,X229,X272,X421,X447
172,X8,X18,X39,X52,X73,X94,X125,X150,X211,X229,X272,X421,X447
173,X8,X18,X39,X52,X73,X94,X125,X150,X211,X229,X272,X421,X447
174,X8,X12,X16,X27,X33,X35,X72,X150,X211,X229,X272,X421,X536
175,X8,X12,X16,X27,X33,X35,X72,X150,X211,X229,X272,X421,X536
176,X8,X12,X16,X27,X33,X35,X72,X150,X211,X229,X272,X421,X536
177,X8,X12,X16,X27,X35,X68,X72,X105,X116,X144,X157,X200,X382
178,X8,X12,X19,X27,X29,X35,X41,X150,X211,X229,X272,X421,X604
179,X3,X8,X16,X19,X27,X29,X41,X150,X211,X229,X272,X421,X604
180,X8,X16,X18,X27,X29,X41,X43,X150,X211,X229,X272,X421,X604
181,X8,X18,X27,X29,X41,X43,X109,X150,X211,X229,X272,X421,X604
182,X8,X18,X27,X29,X41,X43,X109,X150,X211,X229,X272,X382,X472
183,X7,X8,X12,X17,X19,X29,X35,X157,X187,X197,X270,X311,X604
184,X3,X8,X13,X16,X27,X29,X73,X157,X187,X272,X291,X421,X447
185,X1,X8,X16,X17,X18,X49,X68,X72,X157,X187,X197,X311,X472
186,X8,X13,X19,X27,X41,X73,X125,X163,X211,X229,X272,X382,X472
187,X8,X12,X13,X14,X16,X27,X29,X100,X105,X128,X157,X200,X447
188,X1,X8,X17,X18,X49,X68,X72,X157,X187,X197,X421,X447,X472
189,X8,X12,X13,X14,X16,X27,X29,X100,X105,X128,X157,X200,X472
190,X8,X12,X14,X16,X27,X29,X100,X105,X118,X128,X157,X200,X472
191,X8,X12,X13,X14,X16,X27,X29,X100,X105,X128,X157,X200,X472
192,X8,X12,X13,X14,X16,X27,X29,X100,X105,X128,X157,X200,X472
193,X1,X8,X13,X14,X16,X27,X29,X100,X105,X128,X157,X200,X472
194,X8,X12,X13,X14,X16,X27,X29,X100,X105,X128,X200,X220,X472
195,X8,X12,X13,X16,X27,X29,X96,X100,X105,X128,X200,X220,X472
196,X8,X12,X13,X16,X27,X29,X96,X100,X105,X128,X200,X220,X472
197,X8,X17,X19,X27,X35,X43,X125,X150,X173,X229,X272,X421,X447
198,X12,X16,X19,X27,X35,X43,X125,X150,X173,X229,X272,X421,X447
199,X13,X18,X29,X39,X52,X68,X127,X150,X151,X157,X200,X421,X447
200,X17,X19,X27,X41,X43,X122,X125,X150,X211,X299,X421,X472,X608
201,X13,X18,X29,X39,X52,X96,X150,X151,X157,X200,X270,X303,X421
202,X12,X16,X24,X27,X30,X43,X150,X220,X249,X265,X272,X421,X447
203,X13,X18,X29,X39,X52,X96,X150,X151,X157,X200,X270,X421,X447
204,X8,X18,X29,X33,X39,X42,X64,X126,X128,X144,X181,X200,X208
205,X1,X6,X22,X29,X43,X121,X163,X211,X264,X272,X315,X421,X447
206,X8,X12,X13,X30,X68,X122,X127,X150,X272,X291,X299,X421,X447
207,X8,X12,X13,X30,X68,X122,X127,X150,X272,X291,X299,X421,X447
