,Al,Ti,V,Nb,Ta,Zr,Mo,Fe,Cr,Sn,W,Si,Moeq,Bo,Md,fliter
208,0.0,0.8577665743872664,0.1422334256127335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.05,2.792133501384191,2.3652157802726785,True
215,0.0,0.8434001442461405,0.1565998557538596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.055,2.7923489978363083,2.356955082941531,True
216,0.0,0.8193976100997363,0.1806023899002636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.73,2.792709035848504,2.343153625807348,True
231,0.0,0.9419223530504396,0.0,0.0,0.0,0.0,0.0580776469495604,0.0,0.0,0.0,0.0,0.0,11.0,2.80585519761723,2.4187742635825136,True
235,0.0,0.9491454377874132,0.0,0.0,0.0,0.0,0.0,0.0,0.0508545622125868,0.0,0.0,0.0,8.8,2.789440599815661,2.397721929216003,True
256,0.0,0.8816523719221383,0.1183476280778616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.375,2.791775214421168,2.3789501138552294,True
271,0.0,0.9391210207911472,0.0,0.0,0.0,0.0,0.0608789792088526,0.0,0.0,0.0,0.0,0.0,11.5,2.806619961324017,2.417412816104497,True
274,0.0,0.8864208174322268,0.1135791825677733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.040000000000001,2.791703687738517,2.3816919700235304,True
285,0.0,0.8625495520695894,0.1374504479304104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.715,2.792061756718956,2.3679659924400136,True
298,0.0,0.8242039778155514,0.1757960221844485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.395,2.7926369403327667,2.3459172872439424,True
299,0.0,0.9584248814350148,0.0,0.0,0.0,0.0,0.0,0.0,0.0415751185649851,0.0,0.0,0.0,7.2,2.7895426736957853,2.40671371011053,True
326,0.0,0.9258819394228432,0.0,0.0,0.0,0.0,0.0,0.0,0.0741180605771568,0.0,0.0,0.0,12.8,2.7891847013336517,2.375179599300735,True
396,0.0,0.9447088674269016,0.0,0.0,0.0,0.0,0.0552911325730983,0.0,0.0,0.0,0.0,0.0,10.5,2.805094479192456,2.4201285095694742,True
403,0.0,0.891186364456261,0.108813635543739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.705,2.791632204533156,2.3844321595623503,True
405,0.0,0.8290074124056085,0.1709925875943916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.06,2.7925648888139163,2.348679262133225,True
414,0.0,0.8768810252808293,0.1231189747191705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.71,2.7918467846207875,2.376206589536477,True
422,0.0,0.9305420727823076,0.0,0.0,0.0,0.0,0.0,0.0,0.0694579272176924,0.0,0.0,0.0,12.0,2.7892359628006056,2.379695268526056,True
427,0.0,0.9398511800708385,0.0,0.0,0.0,0.0,0.0,0.0,0.0601488199291616,0.0,0.0,0.0,10.4,2.789338362980779,2.3887157934886423,True
495,0.0,0.9502379103394576,0.0,0.0,0.0,0.0,0.0497620896605424,0.0,0.0,0.0,0.0,0.0,9.5,2.803585050477328,2.422815624424976,True
508,0.0,0.9054656410155132,0.0945343589844868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,2.7914180153847674,2.39264274358392,True
618,0.0,0.9630590590466988,0.0,0.0,0.0,0.0,0.0,0.0,0.0369409409533011,0.0,0.0,0.0,6.4,2.789593649649514,2.411204228216252,True
674,0.0,0.9363047521380564,0.0,0.0,0.0,0.0,0.0636952478619437,0.0,0.0,0.0,0.0,0.0,12.0,2.8073888026663107,2.4160441095390954,True
677,0.0,0.8673296180077804,0.1326703819922196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.38,2.791990055729883,2.370714530354474,True
704,0.0,0.8529806822994974,0.1470193177005025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.385,2.792205289765508,2.362463892322211,True
