,Al,Ti,V,Nb,Ta,Zr,Mo,Fe,Cr,Sn,W,Si,Moeq,Bo,Md
12,0.0,0.9861746813002218,0.0,0.0,0.0,0.0,0.0,0.0,0.013825318699778266,0.0,0.0,0.0,2.4000000000000004,2.7898479214943026,2.433603266179915
13,0.09358769386088317,0.9064123061391167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.5,2.755934079434638,2.4238838396163613
14,0.0,0.991838056343278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008161943656721952,0.0,0.0,-0.66,2.785861894566042,2.4441678055511176
15,0.026305102256709262,0.9736948977432907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,2.780424942778558,2.4405026397425926
16,0.0,0.9992171434832057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000782856516794355,0.0,0.132,2.790262256933126,2.4467064288062024
17,0.0,0.9306269252538567,0.0,0.0,0.0,0.0,0.06937307474614325,0.0,0.0,0.0,0.0,0.0,13.0,2.808938849405697,2.4132846856733745
18,0.08539672628339502,0.9146032737166049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,2.758915591632844,2.4259070086080015
19,0.0,0.9118791669093009,0.0,0.0,0.0,0.0,0.0,0.0,0.08812083309069912,0.0,0.0,0.0,15.200000000000001,2.789030670836002,2.3616109127351126
20,0.0,0.9813540815774024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018645918422597448,0.0,0.0,-1.485,2.780546519359743,2.4405298663073585
21,0.0,0.9959435285479677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004056471452032376,0.0,0.0,-0.33,2.78794336897382,2.4455924044061454
22,0.0,0.9401333982022635,0.0,0.0598666017977365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,2.808498779955501,2.445623068158652
23,0.0,0.9978711982196108,0.0,0.0,0.0021288017803893266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,2.790753595830258,2.447178819349553
24,0.0,0.961179119269567,0.0,0.0,0.0,0.0,0.0,0.038820880730433036,0.0,0.0,0.0,0.0,13.049999999999999,2.78460389757847,2.38962273828042
25,0.0,0.9898168651111352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010183134888864903,-2.4,2.78766806211045,2.444484765682451
27,0.0,0.9976409382159943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002359061784005709,0.0,0.396,2.790790285697642,2.446115351830998
28,0.0,0.9165504909597965,0.0,0.0,0.0,0.0,0.0,0.0,0.08344950904020366,0.0,0.0,0.0,14.4,2.789082055400558,2.366137425740043
29,0.0,0.9979046163795902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020953836204098335,0.0,0.35200000000000004,2.7907019535128375,2.4462142311423465
30,0.0,0.9981386754841431,0.0,0.0,0.0018613245158568383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175,2.7906589088786133,2.447156351259332
31,0.0,0.9535211615942694,0.0,0.0,0.0,0.04647883840573058,0.0,0.0,0.0,0.0,0.0,0.0,-1.445,2.8037577361680963,2.469635194303591
33,0.0,0.8481918731417244,0.1518081268582755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.72,2.792277121902874,2.3597103270564914
34,0.0,0.9986933019021852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001306698097814789,0.0,0.22,2.790437743862768,2.4465099882133194
36,0.0,0.9506649365159038,0.0,0.0,0.0,0.04933506348409624,0.0,0.0,0.0,0.0,0.0,0.0,-1.53,2.8046031787912926,2.4710261759167547
38,0.0,0.9727325760468158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027267423953184256,0.0,0.0,-2.145,2.776175416055736,2.4375382038882454
40,0.06045345185783915,0.9395465481421608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,2.767994943523746,2.4320679973911137
41,0.0,0.9965960716759912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003403928324008863,-0.8,2.789220500413802,2.44615922970397
42,0.0,0.9984307973501334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015692026498665237,0.0,0.264,2.790525682887705,2.4464115490063
43,0.10171807431176089,0.8982819256882392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,2.7529746209505195,2.4218756356449953
44,0.0,0.9698493335015425,0.0,0.0,0.0,0.0,0.0,0.030150666498457594,0.0,0.0,0.0,0.0,10.15,2.7858090573567145,2.40243731491528
47,0.0,0.9548308805261294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04516911947387059,0.0,0.0,-3.4650000000000003,2.767099256426748,2.431326315542567
49,0.0,0.9876826901229158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012317309877084223,0.0,0.0,-0.99,2.783755123892318,2.442725893472652
50,0.0,0.9529806697108233,0.0,0.0,0.0,0.0,0.04701933028917668,0.0,0.0,0.0,0.0,0.0,9.0,2.8028362771689452,2.42414860547946
53,0.04350892820622362,0.9564910717937765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.5,2.774162750132935,2.436253294733063
54,0.0,0.9855860116572678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014413988342732258,0.0,0.0,-1.155,2.782692107910235,2.441998346045072
56,0.0,0.9758715785472944,0.0,0.0,0.0,0.024128421452705683,0.0,0.0,0.0,0.0,0.0,0.0,-0.765,2.797142012750001,2.458750541247468
57,0.0,0.9351984848464336,0.0,0.0,0.0,0.0,0.0,0.0,0.06480151515356632,0.0,0.0,0.0,11.200000000000001,2.7892871833333106,2.384207331816194
58,0.034939798610933694,0.9650602013890663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,2.7772819133056204,2.4383698697430995
61,0.0,0.9717597431649123,0.02824025683508768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0100000000000002,2.7904236038525267,2.430761852319825
62,0.0,0.99539522144678,0.0,0.0,0.0,0.0,0.0,0.0,0.0046047785532200795,0.0,0.0,0.0,0.8,2.789949347435915,2.44253796958193
64,0.0,0.8338079165540347,0.1661920834459652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.725000000000001,2.792492881251689,2.35143955201857
65,0.0,0.9981679024663533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018320975336466368,0.0,0.308,2.7906137526737718,2.446312963424883
67,0.0,0.9136527333648298,0.0,0.08634726663517017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.340000000000001,2.8166813053902673,2.4450140128673907
