,Si,Fe,Ti,Cr,V,Al,Zr,W,Mo,Nb,Sn,Ta,Moeq,Bo,Md,fliter
484,0.0,0.0376477135777686,0.8930900930340305,0.0,0.0,0.0692621933882008,0.0,0.0,0.0,0.0,0.0,0.0,9.05,2.759555529419385,2.3742489175651724,False
485,0.0,0.0,0.8648890437125308,0.082533781390969,0.0,0.0,0.0525771748965001,0.0,0.0,0.0,0.0,0.0,11.985,2.8046549721740632,2.3926298500067467,False
489,0.0,0.0,0.9230910181594312,0.0242796686372784,0.0,0.0,0.0,0.0,0.0526293132032903,0.0,0.0,0.0,14.0,2.804100726149488,2.397895154873678,False
495,0.0,0.0254295279538001,0.9394825865773696,0.0,0.0,0.0350878854688302,0.0,0.0,0.0,0.0,0.0,0.0,6.699999999999999,2.773693305303768,2.400748449973482,False
502,0.0,0.0,0.8784490078811702,0.0349434560756496,0.0,0.0,0.0,0.0,0.0,0.0866075360431801,0.0,0.0,9.94,2.8163773506205105,2.4111478177337022,False
512,0.0,0.0263917761048615,0.949373668242416,0.0,0.0,0.0,0.0242345556527228,0.0,0.0,0.0,0.0,0.0,7.935,2.793504971594631,2.4197951835198914,False
527,0.0,0.0,0.8223278495305328,0.0,0.0,0.0,0.021421556525061,0.0,0.0,0.156250593944406,0.0,0.0,6.685000000000001,2.8446222142602395,2.4538385343669837,False
528,0.0,0.0311936844571172,0.9306143636769764,0.0,0.0,0.0,0.0381919518659062,0.0,0.0,0.0,0.0,0.0,8.96,2.7969688956127685,2.4194952149310773,False
545,0.0,0.0,0.8683962024770184,0.0,0.0884794777750333,0.0,0.0,0.0,0.0,0.0431243197479483,0.0,0.0,8.27,2.8046526069687414,2.395132440925153,False
546,0.0,0.0216009758265555,0.9767990420857278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015999820877166,7.4,2.78756385801916,2.415208156223719,False
566,0.0,0.0171987749875769,0.978183246758417,0.0046179782540062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6,2.787558572515933,2.4171053896402293,False
576,0.0,0.0090611278036809,0.9355642378756946,0.0,0.0,0.0,0.0,0.0,0.0553746343206244,0.0,0.0,0.0,13.4,2.803857778404819,2.4066955808263364,False
603,0.0,0.0,0.8302752757118312,0.0,0.1453709746481806,0.0,0.0243537496399882,0.0,0.0,0.0,0.0,0.0,9.285,2.7993892745131594,2.3752719656519705,False
634,0.0,0.0,0.817663749909488,0.0,0.1468103130033386,0.0,0.0355259370871733,0.0,0.0,0.0,0.0,0.0,8.945,2.802717832072853,2.3798852013845333,False
644,0.0,0.0,0.9018454422521908,0.054441307319082,0.0,0.043713250428727,0.0,0.0,0.0,0.0,0.0,0.0,7.100000000000001,2.773489522463433,2.383449200351914,False
646,0.0,0.0259014154083177,0.9730327428076871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001065841783995,8.799999999999999,2.7867770112497783,2.4088072387363617,False
685,0.0,0.0,0.9223799179130208,0.0,0.0,0.0,0.0,0.0,0.0490102445833392,0.0,0.0286098375036401,0.0,6.855,2.7888746091569057,2.413253407518733,False
690,0.0,0.0,0.8823277784642192,0.0632299892521336,0.0,0.0,0.0,0.0,0.0,0.0544422322836471,0.0,0.0,13.2,2.806127119893874,2.3844779690721585,False
708,0.0,0.0,0.9639907726139604,0.0233536923451158,0.0,0.0,0.0,0.0,0.0126555350409238,0.0,0.0,0.0,6.5,2.7931980704503765,2.4182196820876944,False
716,0.0,0.0,0.9292925630544888,0.0097771140891561,0.0,0.0,0.0,0.0,0.060930322856355,0.0,0.0,0.0,13.1,2.806526429884804,2.407913839539419,False
727,0.0,0.0044104111894363,0.9673530745675744,0.0,0.0,0.0,0.0,0.0,0.0282365142429893,0.0,0.0,0.0,6.95,2.7970955212330044,2.42675846633992,False
730,0.0,0.0,0.8236680230093314,0.0,0.0,0.0,0.0,0.0,0.0378850335278081,0.1384469434628604,0.0,0.0,12.94,2.8431227196831155,2.4254035940058394,False
732,0.0,0.0,0.9675881032708308,0.0094259468349956,0.0,0.0,0.0,0.0,0.0229859498941734,0.0,0.0,0.0,6.1,2.7961714789059244,2.4266950858683214,False
737,0.003650547583364,0.0,0.924223554039173,0.0,0.0,0.0,0.0,0.0,0.072125898377463,0.0,0.0,0.0,12.7,2.8088543948604574,2.4110451281354623,False
743,0.0,0.0,0.8422735873796275,0.0,0.0,0.09111112423436,0.0,0.0,0.0666152883860125,0.0,0.0,0.0,8.0,2.775021524508075,2.392120522158512,False
748,0.0,0.0,0.9174202169326904,0.0,0.0,0.0,0.0368120357781828,0.0,0.0457677472891267,0.0,0.0,0.0,7.395,2.8133909576002742,2.44268433624146,False
751,0.0,0.0215530385368086,0.977648745774427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007982156887645,7.325,2.787286695997207,2.4152116591604536,False
753,0.0,0.0216348876240182,0.9742940137343736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0040710986416082,0.0,6.92,2.7849287036089665,2.4136109648630635,False
758,0.0,0.0,0.9315283963586656,0.0240886451877565,0.0,0.0,0.0,0.0,0.0443829584535779,0.0,0.0,0.0,12.5,2.801851572560762,2.4020879850046253,False
763,0.0,0.0,0.927942709177263,0.0,0.0,0.0,0.0,0.0022423328699114,0.0698149579528254,0.0,0.0,0.0,13.352,2.8098106650325416,2.41222905560871,False
